ID,followers,posts,avatar,max_comments,min_comments,mean_comments,max_likes,min_likes,mean_likes
fresherthanchris,3785,4228,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16790199_257761948001043_1968817385058074624_a.jpg,9,1,5.75,184,54,117.0
jakerosenberg,68201,3999,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10986124_1533979920197853_2134091306_a.jpg,12,3,6.75,1074,315,623.333333333
rosielondoner,300458,4102,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13643499_1069289376495969_1835629985_a.jpg,80,13,47.6666666667,10126,1962,6937.91666667
girlwithcurves,261622,2129,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15623843_1824607724486540_7617407808383746048_a.jpg,71,4,23.8333333333,5375,1256,3203.83333333
fruzans_beauty,90170,385,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17934479_1832406380416259_4677080537641254912_n.jpg,671,1,88.5,33900,325,5451.41666667
kevinruss,261144,4876,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14288087_1606150633012457_50053486_a.jpg,94,10,41.5833333333,10962,3982,6108.16666667
itsafterfive,3964,361,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14487252_1833801793530937_1818137640117993472_a.jpg,28,5,11.8333333333,246,113,193.833333333
ctbites,17495,796,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11351712_1631817693725259_7260929_a.jpg,23,1,7.58333333333,531,85,212.0
curvygirlchic,68621,1534,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11313764_504760103015010_305525213_a.jpg,44,6,21.8333333333,1095,125,617.833333333
awesomeamsterdam,22213,1593,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10684159_293533200846459_36610615_a.jpg,12,0,6.5,729,334,491.666666667
shopbop,714563,3608,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12543085_1657266497894470_4143841_a.jpg,69,13,30.75,5091,1267,2742.83333333
kcdworldwide,58158,3312,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11950606_1635927629998284_68331775_a.jpg,14,4,8.08333333333,416,147,250.083333333
harpersbazaarus,2881633,5279,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17077124_1274236186024320_8877585263530868736_a.jpg,213,52,100.25,22760,4999,14090.1666667
christingc,16282,4343,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17587054_188987108272496_2134451922654986240_a.jpg,13,0,6.33333333333,196,77,148.416666667
thelovelythingsblog,1125,500,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13556804_1647383868915902_469632410_a.jpg,18,6,11.25,180,102,134.75
thegirlfromfuss,39338,913,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16789134_330603610670734_926552736420331520_a.jpg,26,5,11.5,814,389,566.666666667
pdy,63442,1923,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17587161_184401658734947_7652159282128879616_a.jpg,35,4,15.8333333333,1424,395,830.583333333
closcadesign,1647,137,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15101632_215627755548052_176322976029868032_a.jpg,6,0,2.08333333333,135,68,97.5
denver.darling,17808,529,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12599003_920793708015788_506748599_a.jpg,46,18,33.6666666667,840,340,484.833333333
bertrandmak,1092,27,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10809679_725050657543734_839803161_a.jpg,9,0,3.33333333333,52,12,26.9166666667
emilyschuman,397625,2637,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11821246_514455362037047_579940802_a.jpg,70,14,41.3333333333,11187,2219,5531.83333333
neusalonzindia,5504,345,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/11820539_1047379941968887_1017945343_a.jpg,8,0,1.5,122,4,28.9166666667
nicolettareggio,201858,2202,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17586689_587680824763259_5429994609642045440_a.jpg,52,19,30.75,3438,1709,2494.75
allthatisshe,144275,477,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16906647_1354967291231040_2753307734496509952_a.jpg,205,67,135.416666667,18844,2351,11583.3333333
dapperlou,86010,1745,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13249729_476045232590658_989259168_a.jpg,91,14,44.25,2802,406,1592.16666667
xandervintage,171865,1243,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17076164_1653005731670320_3790628850006753280_a.jpg,273,22,78.3333333333,14651,5021,8017.83333333
adenorah,259944,1952,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13597744_585925851587791_1836424414_a.jpg,86,16,47.4166666667,12413,3885,8511.58333333
mirandakerr,11104868,1850,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11428694_1601769410084895_603684605_a.jpg,2287,353,1144.16666667,317124,83147,202603.5
troprouge,177004,9535,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15035748_345995855772812_2302765798290096128_a.jpg,26,2,12.1666666667,1405,310,1016.41666667
heystamford,14121,1753,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12826044_1710167695896269_519932884_a.jpg,35,1,9.41666666667,581,92,288.583333333
stefanogabbana,945856,13386,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14032988_1788005848103548_1264213114_a.jpg,743,19,160.166666667,12429,2364,6234.08333333
kookiebuhain,8763,713,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17931859_1703487649676575_6830376740976590848_a.jpg,6,0,1.91666666667,153,41,91.3333333333
streetetiquette,223684,2731,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10725112_1778926512331980_583397673_a.jpg,210,15,54.6666666667,2307,1296,1812.5
thedaileigh,191010,2445,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15534936_125181061308496_6121938141952606208_a.jpg,33,0,6.75,3184,196,958.75
tdposh,1481,1143,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14705189_1431601196856582_4349079777940865024_a.jpg,11,0,5.58333333333,112,55,81.0
lexiconofstyle,46903,1881,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17495352_784496521707119_5206584936483520512_a.jpg,935,5,120.75,4265,155,1203.41666667
styleheroine,163006,5723,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16585071_1609373252412732_4822228145660755968_a.jpg,71,1,26.75,4489,835,2221.58333333
kristinabazan,2455491,9838,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15624625_1306286506060248_1842754975319457792_a.jpg,192,54,113.083333333,35861,7948,21691.75
fashionzine,1556652,4295,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12354077_492860164218723_1751852948_a.jpg,1111,39,162.0,24088,6354,14670.5833333
joysewing,8186,3460,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14099877_183580488729468_428593513_a.jpg,5,0,2.08333333333,109,18,54.0
carly,196503,3026,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17439047_727303657443132_613869921746550784_a.jpg,112,22,62.1666666667,8465,2996,6089.91666667
astylishsideproject,33353,1059,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16464655_689014031278991_5606502239200870400_a.jpg,119,27,48.8333333333,1625,679,1070.75
sandrajuto,81747,4899,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/11419226_667951500001849_274697938_a.jpg,26,1,8.25,926,139,639.583333333
levis_uk,50152,1252,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10665559_533947430068842_960771323_a.jpg,15,1,6.41666666667,1336,393,728.583333333
style_by_salli,5647,1031,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17127043_712425062268313_5007421332963459072_a.jpg,32,0,6.66666666667,384,128,199.0
