tag_length,count
0,221
10,14
20,15
30,30
40,52
50,52
60,66
70,72
80,47
90,72
100,74
110,89
120,59
130,37
140,43
150,43
160,36
170,35
180,26
190,28
200,26
210,17
220,15
230,23
240,20
250,14
260,12
270,10
280,3
290,3
300,4
310,8
320,6
330,3
340,6
350,6
360,1
370,2
380,2
390,3
400,4
410,3
420,0
430,4
440,3
450,1
460,2
470,2
480,0
490,1
500,0
510,1
520,1
530,1
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,1
620,1
630,0
640,0
650,0
660,1
670,0
680,0
690,0
700,1
710,0
720,1
730,0
740,0
750,0
760,0
770,0
780,0
790,1
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,1
960,0
970,0
980,0
990,0
